"Term","Contextual note","Time/Region","References"
"mamluk/e mameluke mamluq mamaluke marmeluke mameluke","Arabic word for “slave” referring to  non-Arab but ethnically diverse groups of enslaved people (mostly Turkic,  Caucasian, Eastern and South-eastern European), some of whom exercised  significant influence as soldiers in the Muslim world.","","Wikipedia  - Mamluk [60]"
"muladi/s Muladies (Spanish) Muladí  (Arabic) muwallad (Arabic) muwalladun (Arabic) muwalladeen (Arabic) muladíes  (Spanish)","Derogatory terms for mixed-race people,  especially a descendant of an Arab and non-Arab parent.","","Art  & Popular Culture - Muladi [61]"
"roots","Often tied to feelings of displacement  or loss, especially associated with diasporic communities. To question  someone’s roots presupposes that they do not belong or that their “roots” are  the sole or predominant factor for their identity.","","Tropenmuseum  – Words Matter [62]"
"hike","USA term for Italian immigrants","USA,  Italy","Wikipedia  – List of ethnic slurs [63]"
"hillbilly hillbillies hick redneck","USA classist term for an  “unsophisticated person”, typically white. Originally associated with the  remote regions of the Appalachians and other mountainous regions.","USA","Wikipedia  – List of ethnic slurs [64] Cambridge  dictionary - hillbilly [65]"
"honky honkey                           honkie","Used by African Americans in the USA to  refer to white people.","USA,  1946-","Wikipedia  – List of ethnic slurs [66]"
"hun/s","The Huns were a nomadic people  originating from Central Asia who invaded Eastern Europe and Caucasia, who  were typically portrayed as unattractive and immoral. The Hunnic rule was not continuous  between 1st-7th CE. The Xiong-nu Steppe Confederation  collapsed around the 1st century CE. Huns of Attila began their  assault on Europe in the 4th century CE. The term “Hun” was later used for the  Germans in British propaganda in the First World War. The term is also a  reference to Queen Elizabeth II’s heritage as she has German ancestry and is  the head of state and therefore the head of the Protestant Church of England. “Hun” is also an offensive term for a  Protestant in Northern Ireland or historically a member of the British  military in Ireland i.e. “Britannia’s huns”","UK,  Ireland, Germany, Europe","Scottish  Government - Sectarianism Terms Kadir  O."
"japie yarpie","“Japie” is a South African male first  name, sometimes used as an ethnic slur for Afrikaners. Derived from  “plaasjabie”, meaning “farm boy”.","South  Africa","Wikipedia  – List of ethnic slurs [67] Wikipedia  - Japie [68]"
"jerry","Derogatory term for Germans, especially  soldiers. Used in the World Wars.","Europe,  Germany, WWI-","Wikipedia  – List of ethnic slurs [69]"
"jock jocky jockie neanderthal schemie sweaty sock weegie","Terms referring to Scottish people,  although their derogatory connotation is debated. “Jock” was slang for a Scottish soldier  or sailor, dating back to the 18th century. “Schemie” is Scottish (classist) slang  for a person who lives on a a social housing development, typically  seen as disadvantaged or disreputable.","Scotland,  UK","Wikipedia  – List of ethnic slurs [70]"
"kalar","Burmese term for Muslim citizens who  are dark-skinned","Burma,  South Asia","Wikipedia  – List of ethnic slurs [71]"
"kalia kalu kallu","Hindi term for dark-skinned people,  including South Indians, lower castes, and Black Africans.","South  Asia, India","Wikipedia  – List of ethnic slurs [72]"
"kebab","Discriminatory term when used to refer  to Muslims, usually of Arabic or Turkic descent.","UK","Wikipedia  – List of ethnic slurs [73]"
"kraut sauerkraut","Derogatory slang term for German people  used in the US, used mostly during World War II","USA,  Germany, Europe, WWII","Wikipedia  – List of ethnic slurs [74]"
"labas","Derogatory Russian term for Lithuanian  people","Russia,  Lithuania, Europe","Wikipedia  – List of ethnic slurs [75]"
"laowai","Chinese word for foreigners","China","Wikipedia  – List of ethnic slurs [76]"
"lebo leb","Australian term for a Lebanese person,  usually a Lebanese Australian","Australia,  Lebanon","Wikipedia  – List of ethnic slurs [77]"
"limey","USA term for British people","USA,  UK","Wikipedia  – List of ethnic slurs [78]"
"locust","Hong Kong term for mainland Chinese  people","Hong  Kong, China","Wikipedia  – List of ethnic slurs [79]"
"lugan","Refers to Lithuanian people","Lithuania","Wikipedia  – List of ethnic slurs [80]"
"mayonnaise monkey","Used in the USA to refer to white  people","USA","Wikipedia  – List of ethnic slurs [81]"
"mayate","Spanish colloquial term for Black  people","Spain,  Black history","Wikipedia  – List of ethnic slurs [82]"
"mick/s","Derogatory term for Irish people","Scotland, Ireland","Scottish  Government - Sectarianism Terms"
"migrant immigrant asylum Seeker refugee","","",""
"mocro","Refers to Dutch Moroccan people","Netherlands,  Morocco","Wikipedia  – List of ethnic slurs [83]"
"mof moffen","Dutch term for German people","Netherlands,  Germany, Europe","Wikipedia  – List of ethnic slurs [84]"
"paddy","Term for Irish people. Shortened  version of the name Patrick.","Ireland","Scottish  Government - Sectarianism Terms Wikipedia  – List of ethnic slurs [85]"
"paki/s pakki/s pak/s","Pejorative for South Asians and  sometimes Middle Eastern people, especially those living in Britain.","UK,  South Asia","Wikipedia  – List of ethnic slurs [86]"
"pancake","Derogatory  term for East Asian people","East  Asia","Wikipedia  – List of ethnic slurs [87]"
"pocho pocha","Derogatory term for Mexican people  partially or fully integrated into US culture","USA,  Mexico","Wikipedia  – List of ethnic slurs [88]"
"pom pohm pommy pommie grant","Term for British immigrants used in  Australian, New Zealand, and South Africa.","Australia,  New Zealand, UK, South Africa","Wikipedia  – List of ethnic slurs [89] Kadir  O."
"quashie","Derogatory term for Black people in the  Caribbean","Caribbean,  Black history","Wikipedia  – List of ethnic slurs [90]"
"raghead towel head","Derogatory term for Arabs, Indians,  Sikhs","UK,  Middle East, North Africa, India","Wikipedia  – List of ethnic slurs [91]"
